toode,Kategooriad_kategooria,hind,nimi,ostuhind,kuvatav,inventeeritav
1085,1,1.3,Corona Extra,0.027322352678314017,1,1
1086,5,10,Vein,5.915584415584417,1,1
1087,1,1.3,Paulaner Lemon Radler,1,0,0
1088,7,2.5,Lays krõpsud,2.066666666666667,0,0
1089,4,1.1,Coca Cola 0.33,0.020833333333333332,0,0
1090,16,1.4,Hoggys HardPerry,0.02216934850863422,1,1
1091,4,0.8,Värska mineraalvesi 0.5L,0.13194444444444445,1,1
1092,3,0.35,Koskenkorva liköör,0.09414141414141415,0,0
1093,1,2.5,Paulaner Weissbier,1.1,0,0
1094,7,1.5,Tuc küpsised,0.06666666666666667,0,0
1095,7,1,Buldak nuudlid,0.1625,1,1
1096,4,3,Coca Cola 2L,0.5,1,1
